date,Arsenal,The Draw,Tottenham
2015-02-07 14:32:19.405,0.3815755,11.31905,88.10319
2015-02-07 14:32:35.352,0.3709845,11.08735,89.05297
2015-02-07 14:32:51.188,0.402408,10.4388,89.2776
2015-02-07 14:33:06.971,0.3445914,9.844941,89.96349
2015-02-07 14:33:23.165,0.328072,9.57274,90.86093
2015-02-07 14:33:38.904,0.2902603,9.503277,90.8782
2015-02-07 14:33:54.672,0.2857143,9.001416,91.19554
2015-02-07 14:34:10.797,0.2698662,9.027125,91.41801
2015-02-07 14:34:26.499,0.1787216,8.45298,91.47023
2015-02-07 14:34:42.297,0.1141159,8.217007,91.85584
2015-02-07 14:34:58.257,0.1666667,8.37943,91.00662
2015-02-07 14:35:14.088,0.157617,8.048428,91.8286
2015-02-07 14:35:29.929,0.1,7.268833,92.54841
2015-02-07 14:35:47.601,0.1,7.064478,93.4562
2015-02-07 14:36:03.321,0.1,6.181633,94.31697
2015-02-07 14:36:19.092,0.1,5.802796,94.37711
2015-02-07 14:36:34.980,0.1,6.380004,94.14228
2015-02-07 14:36:50.690,0.1,5.097211,94.83679
2015-02-07 14:37:06.777,0.1,3.846154,96.58744
2015-02-07 14:37:22.758,0.1,3.846154,99.0099
2015-02-07 14:37:38.515,0.1,0.2857143,99.0099
2015-02-07 14:37:54.277,0.1,0.1818182,99.0099
2015-02-07 14:38:10.114,0.1,0.3333333,99.0099
2015-02-07 14:38:26.568,0.1,0.3333333,99.0099
2015-02-07 14:38:42.576,0.1,0.3333333,99.0099
2015-02-07 14:38:58.283,0.1,0.3333333,99.0099
2015-02-07 14:39:14.077,0.1,0.3333333,99.0099
2015-02-07 14:39:30.347,0.1,0.3333333,99.0099
2015-02-07 14:39:46.872,0.1,0.3333333,99.0099
2015-02-07 14:40:02.696,0.1,0.3333333,99.0099
2015-02-07 14:40:18.536,0.1,0.3333333,99.0099
2015-02-07 14:40:34.595,0.1,0.3333333,99.0099
2015-02-07 14:40:51.934,0.1,0.3333333,99.0099
2015-02-07 14:41:08.002,0.1,0.3333333,99.0099
2015-02-07 14:41:23.733,0.1,0.3333333,99.0099
2015-02-07 14:41:39.572,0.1,0.3333333,99.0099
