date,Gael Monfils,Roger Federer
2014-11-21 17:45:13.139,14971.86,418.8879
2014-11-21 17:45:28.780,80751.73,339.4795
2014-11-21 17:45:44.551,108712.7,1067.016
2014-11-21 17:46:00.585,215333.9,1603.902
2014-11-21 17:46:16.845,42722.76,89.29889
2014-11-21 17:46:32.660,22113.95,205.0145
2014-11-21 17:46:48.359,6954.406,688.0374
2014-11-21 17:47:04.146,5998.515,136.9363
2014-11-21 17:47:19.820,14625.31,453.6413
2014-11-21 17:47:35.648,4071.217,191.6202
2014-11-21 17:47:52.511,11216.79,1401.765
2014-11-21 17:48:08.345,10798.98,439.1122
2014-11-21 17:48:23.972,60861.88,596.8172
2014-11-21 17:48:39.765,33904.85,442.1182
2014-11-21 17:48:55.629,9926.384,284.2291
2014-11-21 17:49:11.432,32700.48,97.91779
2014-11-21 17:49:27.435,88203.5,430.4561
2014-11-21 17:49:44.370,39084.81,951.8295
2014-11-21 17:50:00.196,43969.73,248.4027
2014-11-21 17:50:16.004,12421.61,121.1914
2014-11-21 17:50:31.855,8575.833,38.6101
2014-11-21 17:50:47.951,59608.62,478.5649
2014-11-21 17:51:03.609,4189.022,3907.108
2014-11-21 17:51:19.473,49166.91,1755.76
2014-11-21 17:51:36.544,84636.47,127.8599
2014-11-21 17:51:53.208,54715.85,21.17209
2014-11-21 17:52:09.359,44867.9,192.5069
2014-11-21 17:52:24.968,161159.8,139.0393
2014-11-21 17:52:42.679,47867.59,2136.973
2014-11-21 17:52:58.446,115772.8,188.4878
2014-11-21 17:53:14.161,132597.4,309.0573
2014-11-21 17:53:29.816,77150.56,19.58519
2014-11-21 17:53:45.619,21723.01,148.4913
2014-11-21 17:54:01.862,29429.28,488.4706
2014-11-21 17:54:17.590,3796.408,1134.249
2014-11-21 17:54:33.412,165690.2,761.8824
2014-11-21 17:54:49.483,89961.01,23.59553
2014-11-21 17:55:05.189,3106.649,786.6809
2014-11-21 17:55:21.247,11086.38,2061.852
2014-11-21 17:55:37.247,74737.36,209.778
2014-11-21 17:55:53.072,118504.2,584.3092
2014-11-21 17:56:08.822,47256.64,517.8122
2014-11-21 17:56:24.717,5081.654,284.0547
2014-11-21 17:56:40.375,1186.988,145.5378
2014-11-21 17:56:56.186,17577.6,117.9073
2014-11-21 17:57:12.113,5150.157,199.7651
2014-11-21 17:57:28.105,100189.5,183.431
2014-11-21 17:57:43.828,0,0
2014-11-21 17:57:59.571,0,0
2014-11-21 17:58:16.629,0,0
2014-11-21 17:58:32.383,0,0
2014-11-21 17:58:48.119,0,0
2014-11-21 17:59:04.065,0,0
